method,filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
scan,negsparse_q0080_m1m,negsparse,1000000,4096,1,0.1000,0.0000,0.00004,153.231,153.231,153.231,10.679,117.920,1.940,22.691,61.04,512.0,2100.0
scan,negsparse_q0080_m1m,negsparse,1000000,32768,1,0.3000,0.0000,0.00001,148.355,148.355,148.355,10.801,116.632,11.963,8.959,61.04,4096.0,2100.0
scan,negsparse_q0080_m2m,negsparse,2000000,4096,1,0.1000,0.0000,0.00005,229.284,229.284,229.284,16.516,192.956,1.875,17.937,122.07,512.0,2100.0
scan,negsparse_q0080_m2m,negsparse,2000000,32768,1,0.0000,0.0000,0.00005,232.793,232.793,232.793,16.641,192.039,12.018,12.094,122.07,4096.0,2100.0
scan,negsparse_q0080_m4m,negsparse,4000000,4096,1,0.0000,0.0000,0.00004,253.256,253.256,253.256,28.247,212.941,1.826,10.243,244.14,512.0,2100.0
scan,negsparse_q0080_m4m,negsparse,4000000,32768,1,0.0000,0.0000,0.00006,263.630,263.630,263.630,28.812,215.592,11.983,7.243,244.14,4096.0,2100.0
scan,negsparse_q0085_m50k,negsparse,50000,4096,1,0.4000,0.0000,0.00013,29.035,29.035,29.035,0.210,4.980,0.892,22.952,3.05,512.0,2100.0
scan,negsparse_q0085_m50k,negsparse,50000,32768,1,0.6000,0.0000,0.00005,19.348,19.348,19.348,0.221,4.440,8.775,5.913,3.05,4096.0,2100.0
scan,negsparse_q0085_m150k,negsparse,150000,4096,1,0.4000,0.0000,0.00006,32.855,32.855,32.855,0.673,12.984,1.131,18.066,9.16,512.0,2100.0
scan,negsparse_q0085_m150k,negsparse,150000,32768,1,0.6000,0.0000,0.00003,36.130,36.130,36.130,0.645,15.481,8.875,11.128,9.16,4096.0,2100.0
