dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,64,3,1000,0.8258,0.3030,0.00121,16.219,56.642,82.941,21.000,75078.3,0.0,10706.2,4119.3,3.0,84.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,128,1,1000,0.9018,0.5120,0.00059,29.390,91.873,124.073,36.179,124404.2,0.0,18769.0,7297.5,4.0,169.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,128,2,1000,0.9019,0.5130,0.00059,29.379,92.542,125.463,35.855,124404.2,0.0,18769.0,7297.5,4.0,169.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,128,3,1000,0.9019,0.5130,0.00059,28.999,91.742,127.561,36.019,124404.2,0.0,18769.0,7297.5,4.0,169.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,256,1,1000,0.9498,0.6990,0.00031,52.407,148.776,180.331,61.379,205479.5,0.0,32843.0,12874.1,8.0,356.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,256,2,1000,0.9498,0.6990,0.00031,53.705,147.575,179.637,61.820,205479.5,0.0,32843.0,12874.1,8.0,356.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,256,3,1000,0.9497,0.6980,0.00031,53.589,147.907,182.759,61.638,205479.5,0.0,32843.0,12874.1,8.0,356.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,512,1,1000,0.9751,0.8290,0.00016,96.649,238.161,281.144,105.972,338113.8,0.0,57371.9,22746.7,15.0,732.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,512,2,1000,0.9752,0.8300,0.00016,96.419,239.155,279.831,105.995,338113.8,0.0,57371.9,22746.7,15.0,732.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,512,3,1000,0.9751,0.8290,0.00016,96.805,237.200,282.229,105.939,338113.8,0.0,57371.9,22746.7,15.0,732.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,acorn,64,1,1000,0.6705,0.1570,0.00444,4.648,6.668,7.847,4.593,2955.1,10.0,50035.0,69.7,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:987|rre:13
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,acorn,64,2,1000,0.6705,0.1570,0.00444,4.560,6.673,7.591,4.522,2955.1,10.0,50035.0,69.7,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:987|rre:13
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,acorn,64,3,1000,0.6706,0.1580,0.00444,4.591,6.631,7.685,4.537,2955.1,10.0,50035.0,69.7,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:987|rre:13
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,acorn,128,1,1000,0.7646,0.2600,0.00270,8.327,11.686,12.721,8.180,5242.1,10.0,84530.4,133.0,4.0,4.0,0.0,0.0,0.0,0.0,0.00,acorn:987|rre:13
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,acorn,128,2,1000,0.7646,0.2600,0.00270,8.295,11.609,12.749,8.170,5242.1,10.0,84530.4,133.0,4.0,4.0,0.0,0.0,0.0,0.0,0.00,acorn:987|rre:13
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,acorn,128,3,1000,0.7645,0.2590,0.00270,8.289,11.958,15.643,8.436,5242.1,10.0,84530.4,133.0,4.0,4.0,0.0,0.0,0.0,0.0,0.00,acorn:987|rre:13
