filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0596_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00002,337.080,337.080,337.080,62.202,232.277,12.316,30.284,604.25,4096.0,2100.0
anticorr_q0596_tau0.01,anticorr,9900518,4096,1,0.7000,0.0000,0.00165,334.356,334.356,334.356,63.285,228.569,1.972,40.530,604.28,512.0,2100.0
anticorr_q0596_tau0.01,anticorr,9900518,32768,1,0.9000,0.0000,0.00049,333.073,333.073,333.073,62.610,233.758,12.835,23.869,604.28,4096.0,2100.0
anticorr_q0596_tau0.03,anticorr,9900472,4096,1,1.0000,1.0000,0.00000,323.981,323.981,323.981,62.175,228.894,1.788,31.125,604.28,512.0,2100.0
anticorr_q0596_tau0.03,anticorr,9900472,32768,1,1.0000,1.0000,0.00000,315.186,315.186,315.186,62.621,230.571,12.770,9.225,604.28,4096.0,2100.0
anticorr_q0620_tau0,anticorr,9900002,4096,1,0.0000,0.0000,0.00004,327.610,327.610,327.610,63.007,227.910,1.975,34.719,604.25,512.0,2100.0
anticorr_q0620_tau0,anticorr,9900002,32768,1,0.0000,0.0000,0.00004,333.902,333.902,333.902,63.962,234.025,11.769,24.147,604.25,4096.0,2100.0
anticorr_q0620_tau0.01,anticorr,9899856,4096,1,0.8000,0.0000,0.00073,334.112,334.112,334.112,61.903,231.898,1.943,38.369,604.24,512.0,2100.0
anticorr_q0620_tau0.01,anticorr,9899856,32768,1,1.0000,1.0000,0.00000,325.321,325.321,325.321,63.429,231.728,11.891,18.273,604.24,4096.0,2100.0
anticorr_q0620_tau0.03,anticorr,9899741,4096,1,1.0000,1.0000,0.00000,324.582,324.582,324.582,61.948,228.418,1.900,32.316,604.23,512.0,2100.0
anticorr_q0620_tau0.03,anticorr,9899741,32768,1,1.0000,1.0000,0.00000,313.647,313.647,313.647,62.453,230.692,12.025,8.477,604.23,4096.0,2100.0
anticorr_q0633_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00007,333.989,333.989,333.989,63.407,228.231,1.909,40.443,604.25,512.0,2100.0
anticorr_q0633_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00003,334.091,334.091,334.091,62.291,231.598,12.381,27.820,604.25,4096.0,2100.0
anticorr_q0633_tau0.01,anticorr,9899936,4096,1,0.7000,0.0000,0.00198,332.543,332.543,332.543,62.830,227.535,1.956,40.223,604.24,512.0,2100.0
anticorr_q0633_tau0.01,anticorr,9899936,32768,1,0.8000,0.0000,0.00102,328.643,328.643,328.643,63.133,230.782,12.273,22.456,604.24,4096.0,2100.0
anticorr_q0633_tau0.03,anticorr,9899322,4096,1,1.0000,1.0000,0.00000,321.978,321.978,321.978,61.882,228.790,1.870,29.437,604.21,512.0,2100.0
anticorr_q0633_tau0.03,anticorr,9899322,32768,1,1.0000,1.0000,0.00000,313.466,313.466,313.466,61.798,231.650,12.159,7.859,604.21,4096.0,2100.0
anticorr_q0636_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00004,326.850,326.850,326.850,62.800,230.400,1.953,31.698,604.25,512.0,2100.0
anticorr_q0636_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00004,333.886,333.886,333.886,62.690,231.655,11.870,27.671,604.25,4096.0,2100.0
anticorr_q0636_tau0.01,anticorr,9900445,4096,1,0.9000,0.0000,0.00092,327.899,327.899,327.899,62.736,227.940,1.916,35.308,604.28,512.0,2100.0
anticorr_q0636_tau0.01,anticorr,9900445,32768,1,1.0000,1.0000,0.00000,326.634,326.634,326.634,63.243,231.976,11.864,19.551,604.28,4096.0,2100.0
anticorr_q0636_tau0.03,anticorr,9900840,4096,1,1.0000,1.0000,0.00000,318.585,318.585,318.585,63.893,227.627,1.838,25.226,604.30,512.0,2100.0
anticorr_q0636_tau0.03,anticorr,9900840,32768,1,1.0000,1.0000,0.00000,311.716,311.716,311.716,63.158,231.904,11.741,4.912,604.30,4096.0,2100.0
anticorr_q0643_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00004,327.692,327.692,327.692,62.708,228.519,1.991,34.474,604.25,512.0,2100.0
anticorr_q0643_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00002,324.860,324.860,324.860,62.350,230.446,11.733,20.331,604.25,4096.0,2100.0
anticorr_q0643_tau0.01,anticorr,9899589,4096,1,0.6000,0.0000,0.00141,325.797,325.797,325.797,63.561,228.152,2.000,32.085,604.22,512.0,2100.0
anticorr_q0643_tau0.01,anticorr,9899589,32768,1,0.8000,0.0000,0.00055,320.282,320.282,320.282,61.709,231.117,12.069,15.387,604.22,4096.0,2100.0
anticorr_q0643_tau0.03,anticorr,9899489,4096,1,1.0000,1.0000,0.00000,318.165,318.165,318.165,62.659,228.985,1.935,24.586,604.22,512.0,2100.0
anticorr_q0643_tau0.03,anticorr,9899489,32768,1,1.0000,1.0000,0.00000,320.597,320.597,320.597,64.028,232.236,12.496,11.837,604.22,4096.0,2100.0
anticorr_q0655_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00005,337.449,337.449,337.449,62.890,226.255,1.899,46.405,604.25,512.0,2100.0
anticorr_q0655_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00003,329.939,329.939,329.939,62.336,230.748,12.012,24.842,604.25,4096.0,2100.0
anticorr_q0655_tau0.01,anticorr,9899936,4096,1,0.9000,0.0000,0.00024,334.868,334.868,334.868,62.575,228.105,1.878,42.309,604.24,512.0,2100.0
anticorr_q0655_tau0.01,anticorr,9899936,32768,1,1.0000,1.0000,0.00000,322.394,322.394,322.394,63.226,230.722,12.148,16.298,604.24,4096.0,2100.0
anticorr_q0655_tau0.03,anticorr,9900416,4096,1,1.0000,1.0000,0.00000,320.037,320.037,320.037,64.533,228.672,1.631,25.202,604.27,512.0,2100.0
anticorr_q0655_tau0.03,anticorr,9900416,32768,1,1.0000,1.0000,0.00000,306.083,306.083,306.083,62.412,229.522,11.472,2.676,604.27,4096.0,2100.0
anticorr_q0656_tau0,anticorr,9900001,4096,1,0.1000,0.0000,0.00004,335.176,335.176,335.176,63.263,228.253,1.821,41.839,604.25,512.0,2100.0
anticorr_q0656_tau0,anticorr,9900001,32768,1,0.0000,0.0000,0.00003,332.180,332.180,332.180,62.775,231.934,12.446,25.025,604.25,4096.0,2100.0
anticorr_q0656_tau0.01,anticorr,9899725,4096,1,0.8000,0.0000,0.00143,324.434,324.434,324.434,63.571,228.483,1.917,30.464,604.23,512.0,2100.0
anticorr_q0656_tau0.01,anticorr,9899725,32768,1,1.0000,1.0000,0.00000,329.964,329.964,329.964,62.665,233.893,11.704,21.701,604.23,4096.0,2100.0
