method,filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
acorn-ef512,topical_2m_b,topical,2000000,0,1000,0.9945,0.9530,0.00004,10.281,29.618,35.785,0.000,10.281,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_400k_a,topical,400020,0,1000,0.9612,0.7360,0.00019,9.235,29.488,39.980,0.000,9.235,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_400k_a,topical,400020,0,1000,0.9867,0.8880,0.00007,16.506,50.851,66.319,0.000,16.506,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_400k_a,topical,400020,0,1000,0.9938,0.9410,0.00004,29.681,89.039,115.001,0.000,29.681,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_400k_a,topical,400020,0,1000,0.9967,0.9690,0.00002,54.427,147.232,178.379,0.000,54.427,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_400k_b,topical,400001,0,1000,0.9695,0.7670,0.00015,14.320,43.453,61.272,0.000,14.320,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_400k_b,topical,400001,0,1000,0.9889,0.9070,0.00006,25.874,75.678,105.641,0.000,25.874,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_400k_b,topical,400001,0,1000,0.9956,0.9640,0.00003,46.905,125.957,166.374,0.000,46.905,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_400k_b,topical,400001,0,1000,0.9980,0.9840,0.00001,86.717,219.660,272.001,0.000,86.717,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_40k_a,topical,40006,0,1000,0.9733,0.7970,0.00011,149.214,358.838,454.284,0.000,149.214,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_40k_a,topical,40006,0,1000,0.9935,0.9410,0.00003,237.160,543.365,703.282,0.000,237.160,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_40k_a,topical,40006,0,1000,0.9985,0.9850,0.00001,415.060,877.296,1264.402,0.000,415.060,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_40k_a,topical,40006,0,1000,0.9997,0.9970,0.00000,720.701,1416.271,1859.868,0.000,720.701,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_40k_b,topical,40004,0,1000,0.9769,0.8130,0.00010,130.082,317.329,434.814,0.000,130.082,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_40k_b,topical,40004,0,1000,0.9936,0.9460,0.00004,250.254,579.549,740.925,0.000,250.254,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_40k_b,topical,40004,0,1000,0.9980,0.9830,0.00002,429.780,969.408,1308.312,0.000,429.780,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_40k_b,topical,40004,0,1000,0.9996,0.9960,0.00000,695.102,1387.694,1664.018,0.000,695.102,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_5m_a,topical,5000022,0,1000,0.9654,0.8010,0.00030,1.474,2.671,3.737,0.000,1.474,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_5m_a,topical,5000022,0,1000,0.9800,0.8820,0.00019,2.152,3.971,5.812,0.000,2.152,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_5m_a,topical,5000022,0,1000,0.9888,0.9250,0.00011,3.572,6.354,9.218,0.000,3.572,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_5m_a,topical,5000022,0,1000,0.9932,0.9520,0.00007,6.580,11.502,17.569,0.000,6.580,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_5m_b,topical,5000010,0,1000,0.9621,0.7880,0.00030,1.209,2.380,3.337,0.000,1.209,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_5m_b,topical,5000010,0,1000,0.9794,0.8790,0.00019,1.969,3.948,6.436,0.000,1.969,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_5m_b,topical,5000010,0,1000,0.9898,0.9300,0.00010,3.154,6.230,10.053,0.000,3.154,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_5m_b,topical,5000010,0,1000,0.9938,0.9580,0.00007,5.628,9.828,16.645,0.000,5.628,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0041_tau0,anticorr,9900000,0,1,0.0000,0.0000,0.00032,59.894,59.894,59.894,0.000,59.894,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0041_tau0,anticorr,9900000,0,1,0.1000,0.0000,0.00010,65.909,65.909,65.909,0.000,65.909,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0041_tau0,anticorr,9900000,0,1,0.1000,0.0000,0.00005,79.513,79.513,79.513,0.000,79.513,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0041_tau0,anticorr,9900000,0,1,0.1000,0.0000,0.00003,104.750,104.750,104.750,0.000,104.750,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0041_tau0.01,anticorr,9900239,0,1,0.6000,0.0000,0.00170,14.457,14.457,14.457,0.000,14.457,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0041_tau0.01,anticorr,9900239,0,1,1.0000,1.0000,0.00000,15.630,15.630,15.630,0.000,15.630,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0041_tau0.01,anticorr,9900239,0,1,1.0000,1.0000,0.00000,21.043,21.043,21.043,0.000,21.043,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0041_tau0.01,anticorr,9900239,0,1,1.0000,1.0000,0.00000,28.815,28.815,28.815,0.000,28.815,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0041_tau0.03,anticorr,9900507,0,1,1.0000,1.0000,0.00000,3.073,3.073,3.073,0.000,3.073,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0041_tau0.03,anticorr,9900507,0,1,1.0000,1.0000,0.00000,1.474,1.474,1.474,0.000,1.474,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0041_tau0.03,anticorr,9900507,0,1,1.0000,1.0000,0.00000,2.199,2.199,2.199,0.000,2.199,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0041_tau0.03,anticorr,9900507,0,1,1.0000,1.0000,0.00000,4.606,4.606,4.606,0.000,4.606,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0059_tau0,anticorr,9900000,0,1,0.0000,0.0000,0.00021,60.388,60.388,60.388,0.000,60.388,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0059_tau0,anticorr,9900000,0,1,0.0000,0.0000,0.00013,65.734,65.734,65.734,0.000,65.734,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0059_tau0,anticorr,9900000,0,1,0.0000,0.0000,0.00010,76.758,76.758,76.758,0.000,76.758,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0059_tau0,anticorr,9900000,0,1,0.1000,0.0000,0.00003,91.684,91.684,91.684,0.000,91.684,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0059_tau0.01,anticorr,9899959,0,1,0.8000,0.0000,0.00034,14.417,14.417,14.417,0.000,14.417,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0059_tau0.01,anticorr,9899959,0,1,1.0000,1.0000,0.00000,15.029,15.029,15.029,0.000,15.029,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0059_tau0.01,anticorr,9899959,0,1,1.0000,1.0000,0.00000,21.096,21.096,21.096,0.000,21.096,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0059_tau0.01,anticorr,9899959,0,1,1.0000,1.0000,0.00000,29.443,29.443,29.443,0.000,29.443,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0059_tau0.03,anticorr,9899896,0,1,1.0000,1.0000,0.00000,2.401,2.401,2.401,0.000,2.401,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0059_tau0.03,anticorr,9899896,0,1,1.0000,1.0000,0.00000,1.926,1.926,1.926,0.000,1.926,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0059_tau0.03,anticorr,9899896,0,1,1.0000,1.0000,0.00000,2.466,2.466,2.466,0.000,2.466,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0059_tau0.03,anticorr,9899896,0,1,1.0000,1.0000,0.00000,4.764,4.764,4.764,0.000,4.764,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0064_tau0,anticorr,9900000,0,1,0.0000,0.0000,0.00024,78.575,78.575,78.575,0.000,78.575,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0064_tau0,anticorr,9900000,0,1,0.0000,0.0000,0.00014,88.000,88.000,88.000,0.000,88.000,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0064_tau0,anticorr,9900000,0,1,0.0000,0.0000,0.00005,100.243,100.243,100.243,0.000,100.243,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0064_tau0,anticorr,9900000,0,1,0.0000,0.0000,0.00003,112.688,112.688,112.688,0.000,112.688,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0064_tau0.01,anticorr,9900317,0,1,0.9000,0.0000,0.00001,18.314,18.314,18.314,0.000,18.314,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0064_tau0.01,anticorr,9900317,0,1,0.9000,0.0000,0.00001,22.449,22.449,22.449,0.000,22.449,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0064_tau0.01,anticorr,9900317,0,1,1.0000,1.0000,0.00000,30.147,30.147,30.147,0.000,30.147,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0064_tau0.01,anticorr,9900317,0,1,1.0000,1.0000,0.00000,37.258,37.258,37.258,0.000,37.258,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0064_tau0.03,anticorr,9899835,0,1,1.0000,1.0000,0.00000,2.740,2.740,2.740,0.000,2.740,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0064_tau0.03,anticorr,9899835,0,1,1.0000,1.0000,0.00000,1.680,1.680,1.680,0.000,1.680,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0064_tau0.03,anticorr,9899835,0,1,1.0000,1.0000,0.00000,2.693,2.693,2.693,0.000,2.693,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0064_tau0.03,anticorr,9899835,0,1,1.0000,1.0000,0.00000,4.375,4.375,4.375,0.000,4.375,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0073_tau0,anticorr,9900001,0,1,0.0000,0.0000,0.00037,68.621,68.621,68.621,0.000,68.621,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0073_tau0,anticorr,9900001,0,1,0.0000,0.0000,0.00019,75.198,75.198,75.198,0.000,75.198,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0073_tau0,anticorr,9900001,0,1,0.0000,0.0000,0.00006,83.841,83.841,83.841,0.000,83.841,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0073_tau0,anticorr,9900001,0,1,0.0000,0.0000,0.00004,97.734,97.734,97.734,0.000,97.734,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0073_tau0.01,anticorr,9899943,0,1,0.6000,0.0000,0.00265,17.558,17.558,17.558,0.000,17.558,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0073_tau0.01,anticorr,9899943,0,1,0.9000,0.0000,0.00006,18.559,18.559,18.559,0.000,18.559,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0073_tau0.01,anticorr,9899943,0,1,0.9000,0.0000,0.00006,23.693,23.693,23.693,0.000,23.693,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0073_tau0.01,anticorr,9899943,0,1,0.9000,0.0000,0.00006,32.886,32.886,32.886,0.000,32.886,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0073_tau0.03,anticorr,9899919,0,1,1.0000,1.0000,0.00000,2.506,2.506,2.506,0.000,2.506,0.000,0.000,0.00,0.0,0.0
acorn-ef128,anticorr_q0073_tau0.03,anticorr,9899919,0,1,1.0000,1.0000,0.00000,1.609,1.609,1.609,0.000,1.609,0.000,0.000,0.00,0.0,0.0
acorn-ef256,anticorr_q0073_tau0.03,anticorr,9899919,0,1,1.0000,1.0000,0.00000,2.735,2.735,2.735,0.000,2.735,0.000,0.000,0.00,0.0,0.0
acorn-ef512,anticorr_q0073_tau0.03,anticorr,9899919,0,1,1.0000,1.0000,0.00000,4.430,4.430,4.430,0.000,4.430,0.000,0.000,0.00,0.0,0.0
acorn-ef64,anticorr_q0077_tau0,anticorr,9900000,0,1,0.0000,0.0000,0.00018,57.595,57.595,57.595,0.000,57.595,0.000,0.000,0.00,0.0,0.0
