method,filter,family,size,recall_at_10,sim_regret,p50_ms,p95_ms,p99_ms
acorn-ef64,anticorr_q0147_tau0.01,anticorr,9899755,0.8000,0.00118,13.217,13.217,13.217
acorn-ef128,anticorr_q0147_tau0.01,anticorr,9899755,0.8000,0.00106,13.085,13.085,13.085
acorn-ef256,anticorr_q0147_tau0.01,anticorr,9899755,1.0000,0.00000,18.614,18.614,18.614
acorn-ef512,anticorr_q0147_tau0.01,anticorr,9899755,1.0000,0.00000,25.781,25.781,25.781
acorn-ef64,anticorr_q0147_tau0.03,anticorr,9900099,1.0000,0.00000,1.442,1.442,1.442
acorn-ef128,anticorr_q0147_tau0.03,anticorr,9900099,1.0000,0.00000,2.865,2.865,2.865
acorn-ef256,anticorr_q0147_tau0.03,anticorr,9900099,1.0000,0.00000,2.531,2.531,2.531
acorn-ef512,anticorr_q0147_tau0.03,anticorr,9900099,1.0000,0.00000,4.877,4.877,4.877
acorn-ef64,anticorr_q0155_tau0,anticorr,9900000,0.0000,0.00050,46.334,46.334,46.334
acorn-ef128,anticorr_q0155_tau0,anticorr,9900000,0.0000,0.00027,54.271,54.271,54.271
acorn-ef256,anticorr_q0155_tau0,anticorr,9900000,0.0000,0.00009,61.988,61.988,61.988
acorn-ef512,anticorr_q0155_tau0,anticorr,9900000,0.0000,0.00004,79.875,79.875,79.875
acorn-ef64,anticorr_q0155_tau0.01,anticorr,9900135,0.5000,0.00295,8.729,8.729,8.729
acorn-ef128,anticorr_q0155_tau0.01,anticorr,9900135,0.7000,0.00126,9.367,9.367,9.367
acorn-ef256,anticorr_q0155_tau0.01,anticorr,9900135,0.7000,0.00095,15.576,15.576,15.576
acorn-ef512,anticorr_q0155_tau0.01,anticorr,9900135,0.9000,0.00025,22.013,22.013,22.013
acorn-ef64,anticorr_q0155_tau0.03,anticorr,9900011,0.3000,0.00804,2.783,2.783,2.783
acorn-ef128,anticorr_q0155_tau0.03,anticorr,9900011,0.9000,0.00020,1.854,1.854,1.854
acorn-ef256,anticorr_q0155_tau0.03,anticorr,9900011,1.0000,0.00000,2.812,2.812,2.812
acorn-ef512,anticorr_q0155_tau0.03,anticorr,9900011,1.0000,0.00000,4.735,4.735,4.735
acorn-ef64,anticorr_q0157_tau0,anticorr,9900000,0.0000,0.00037,67.029,67.029,67.029
acorn-ef128,anticorr_q0157_tau0,anticorr,9900000,0.0000,0.00021,75.988,75.988,75.988
acorn-ef256,anticorr_q0157_tau0,anticorr,9900000,0.0000,0.00014,85.852,85.852,85.852
acorn-ef512,anticorr_q0157_tau0,anticorr,9900000,0.0000,0.00009,101.119,101.119,101.119
acorn-ef64,anticorr_q0157_tau0.01,anticorr,9900280,0.9000,0.00005,16.937,16.937,16.937
acorn-ef128,anticorr_q0157_tau0.01,anticorr,9900280,0.9000,0.00005,18.436,18.436,18.436
acorn-ef256,anticorr_q0157_tau0.01,anticorr,9900280,0.9000,0.00005,23.986,23.986,23.986
acorn-ef512,anticorr_q0157_tau0.01,anticorr,9900280,1.0000,0.00000,32.793,32.793,32.793
acorn-ef64,anticorr_q0157_tau0.03,anticorr,9899453,0.9000,0.00070,2.635,2.635,2.635
acorn-ef128,anticorr_q0157_tau0.03,anticorr,9899453,0.9000,0.00070,2.227,2.227,2.227
acorn-ef256,anticorr_q0157_tau0.03,anticorr,9899453,0.9000,0.00070,2.482,2.482,2.482
acorn-ef512,anticorr_q0157_tau0.03,anticorr,9899453,1.0000,0.00000,4.337,4.337,4.337
acorn-ef64,anticorr_q0168_tau0,anticorr,9900000,0.0000,0.00027,59.458,59.458,59.458
acorn-ef128,anticorr_q0168_tau0,anticorr,9900000,0.0000,0.00015,68.572,68.572,68.572
acorn-ef256,anticorr_q0168_tau0,anticorr,9900000,0.0000,0.00007,88.717,88.717,88.717
acorn-ef512,anticorr_q0168_tau0,anticorr,9900000,0.0000,0.00005,89.307,89.307,89.307
acorn-ef64,anticorr_q0168_tau0.01,anticorr,9900108,0.9000,0.00057,12.828,12.828,12.828
acorn-ef128,anticorr_q0168_tau0.01,anticorr,9900108,1.0000,0.00000,13.003,13.003,13.003
acorn-ef256,anticorr_q0168_tau0.01,anticorr,9900108,1.0000,0.00000,17.606,17.606,17.606
acorn-ef512,anticorr_q0168_tau0.01,anticorr,9900108,1.0000,0.00000,23.271,23.271,23.271
acorn-ef64,anticorr_q0168_tau0.03,anticorr,9899404,0.9000,0.00009,2.695,2.695,2.695
acorn-ef128,anticorr_q0168_tau0.03,anticorr,9899404,0.9000,0.00009,2.012,2.012,2.012
acorn-ef256,anticorr_q0168_tau0.03,anticorr,9899404,1.0000,0.00000,2.866,2.866,2.866
acorn-ef512,anticorr_q0168_tau0.03,anticorr,9899404,1.0000,0.00000,4.333,4.333,4.333
acorn-ef64,anticorr_q0183_tau0,anticorr,9900000,0.0000,0.00039,70.877,70.877,70.877
acorn-ef128,anticorr_q0183_tau0,anticorr,9900000,0.0000,0.00012,77.990,77.990,77.990
acorn-ef256,anticorr_q0183_tau0,anticorr,9900000,0.0000,0.00007,92.503,92.503,92.503
acorn-ef512,anticorr_q0183_tau0,anticorr,9900000,0.0000,0.00004,104.812,104.812,104.812
acorn-ef64,anticorr_q0183_tau0.01,anticorr,9899334,0.7000,0.00042,16.616,16.616,16.616
acorn-ef128,anticorr_q0183_tau0.01,anticorr,9899334,0.9000,0.00028,17.545,17.545,17.545
acorn-ef256,anticorr_q0183_tau0.01,anticorr,9899334,1.0000,0.00000,23.909,23.909,23.909
acorn-ef512,anticorr_q0183_tau0.01,anticorr,9899334,1.0000,0.00000,33.720,33.720,33.720
acorn-ef64,anticorr_q0183_tau0.03,anticorr,9900136,0.9000,0.00061,2.764,2.764,2.764
acorn-ef128,anticorr_q0183_tau0.03,anticorr,9900136,0.9000,0.00061,2.472,2.472,2.472
acorn-ef256,anticorr_q0183_tau0.03,anticorr,9900136,1.0000,0.00000,3.280,3.280,3.280
acorn-ef512,anticorr_q0183_tau0.03,anticorr,9900136,1.0000,0.00000,5.318,5.318,5.318
acorn-ef64,anticorr_q0184_tau0,anticorr,9900002,0.0000,0.00032,63.714,63.714,63.714
acorn-ef128,anticorr_q0184_tau0,anticorr,9900002,0.0000,0.00014,72.158,72.158,72.158
acorn-ef256,anticorr_q0184_tau0,anticorr,9900002,0.0000,0.00007,83.604,83.604,83.604
acorn-ef512,anticorr_q0184_tau0,anticorr,9900002,0.2000,0.00003,101.801,101.801,101.801
acorn-ef64,anticorr_q0184_tau0.01,anticorr,9899929,0.8000,0.00079,10.244,10.244,10.244
acorn-ef128,anticorr_q0184_tau0.01,anticorr,9899929,0.9000,0.00025,10.418,10.418,10.418
acorn-ef256,anticorr_q0184_tau0.01,anticorr,9899929,0.9000,0.00013,15.213,15.213,15.213
acorn-ef512,anticorr_q0184_tau0.01,anticorr,9899929,1.0000,0.00000,22.792,22.792,22.792
acorn-ef64,anticorr_q0184_tau0.03,anticorr,9900225,1.0000,0.00000,2.814,2.814,2.814
acorn-ef128,anticorr_q0184_tau0.03,anticorr,9900225,1.0000,0.00000,1.873,1.873,1.873
acorn-ef256,anticorr_q0184_tau0.03,anticorr,9900225,1.0000,0.00000,2.655,2.655,2.655
acorn-ef512,anticorr_q0184_tau0.03,anticorr,9900225,1.0000,0.00000,4.246,4.246,4.246
acorn-ef64,anticorr_q0185_tau0,anticorr,9900000,0.0000,0.00037,58.743,58.743,58.743
acorn-ef128,anticorr_q0185_tau0,anticorr,9900000,0.0000,0.00014,64.740,64.740,64.740
acorn-ef256,anticorr_q0185_tau0,anticorr,9900000,0.0000,0.00009,75.067,75.067,75.067
acorn-ef512,anticorr_q0185_tau0,anticorr,9900000,0.0000,0.00005,86.425,86.425,86.425
acorn-ef64,anticorr_q0185_tau0.01,anticorr,9900267,0.9000,0.00014,14.725,14.725,14.725
acorn-ef128,anticorr_q0185_tau0.01,anticorr,9900267,0.9000,0.00014,15.347,15.347,15.347
acorn-ef256,anticorr_q0185_tau0.01,anticorr,9900267,1.0000,0.00000,20.060,20.060,20.060
acorn-ef512,anticorr_q0185_tau0.01,anticorr,9900267,1.0000,0.00000,27.042,27.042,27.042
acorn-ef64,anticorr_q0185_tau0.03,anticorr,9900343,1.0000,0.00000,3.032,3.032,3.032
acorn-ef128,anticorr_q0185_tau0.03,anticorr,9900343,1.0000,0.00000,2.016,2.016,2.016
acorn-ef256,anticorr_q0185_tau0.03,anticorr,9900343,1.0000,0.00000,3.122,3.122,3.122
acorn-ef512,anticorr_q0185_tau0.03,anticorr,9900343,1.0000,0.00000,4.684,4.684,4.684
acorn-ef64,anticorr_q0211_tau0,anticorr,9900000,0.0000,0.00025,70.528,70.528,70.528
acorn-ef128,anticorr_q0211_tau0,anticorr,9900000,0.0000,0.00014,79.384,79.384,79.384
acorn-ef256,anticorr_q0211_tau0,anticorr,9900000,0.0000,0.00004,89.812,89.812,89.812
acorn-ef512,anticorr_q0211_tau0,anticorr,9900000,0.0000,0.00003,104.292,104.292,104.292
acorn-ef64,anticorr_q0211_tau0.01,anticorr,9899733,1.0000,0.00000,16.010,16.010,16.010
acorn-ef128,anticorr_q0211_tau0.01,anticorr,9899733,1.0000,0.00000,16.479,16.479,16.479
acorn-ef256,anticorr_q0211_tau0.01,anticorr,9899733,1.0000,0.00000,21.914,21.914,21.914
acorn-ef512,anticorr_q0211_tau0.01,anticorr,9899733,1.0000,0.00000,30.370,30.370,30.370
acorn-ef64,anticorr_q0211_tau0.03,anticorr,9899761,1.0000,0.00000,2.304,2.304,2.304
acorn-ef128,anticorr_q0211_tau0.03,anticorr,9899761,1.0000,0.00000,2.827,2.827,2.827
acorn-ef256,anticorr_q0211_tau0.03,anticorr,9899761,1.0000,0.00000,3.866,3.866,3.866
acorn-ef512,anticorr_q0211_tau0.03,anticorr,9899761,1.0000,0.00000,5.649,5.649,5.649
acorn-ef64,anticorr_q0221_tau0,anticorr,9900000,0.0000,0.00026,56.956,56.956,56.956
acorn-ef128,anticorr_q0221_tau0,anticorr,9900000,0.0000,0.00008,65.230,65.230,65.230
acorn-ef256,anticorr_q0221_tau0,anticorr,9900000,0.0000,0.00005,78.038,78.038,78.038
acorn-ef512,anticorr_q0221_tau0,anticorr,9900000,0.0000,0.00004,95.035,95.035,95.035
acorn-ef64,anticorr_q0221_tau0.01,anticorr,9900215,0.9000,0.00033,9.934,9.934,9.934
acorn-ef128,anticorr_q0221_tau0.01,anticorr,9900215,0.9000,0.00033,10.411,10.411,10.411
acorn-ef256,anticorr_q0221_tau0.01,anticorr,9900215,1.0000,0.00000,15.863,15.863,15.863
acorn-ef512,anticorr_q0221_tau0.01,anticorr,9900215,1.0000,0.00000,22.970,22.970,22.970
acorn-ef64,anticorr_q0221_tau0.03,anticorr,9900077,1.0000,0.00000,2.365,2.365,2.365
acorn-ef128,anticorr_q0221_tau0.03,anticorr,9900077,1.0000,0.00000,1.757,1.757,1.757
acorn-ef256,anticorr_q0221_tau0.03,anticorr,9900077,1.0000,0.00000,2.626,2.626,2.626
acorn-ef512,anticorr_q0221_tau0.03,anticorr,9900077,1.0000,0.00000,4.670,4.670,4.670
acorn-ef64,anticorr_q0238_tau0,anticorr,9900000,0.0000,0.00035,51.384,51.384,51.384
acorn-ef128,anticorr_q0238_tau0,anticorr,9900000,0.0000,0.00014,54.762,54.762,54.762
acorn-ef256,anticorr_q0238_tau0,anticorr,9900000,0.0000,0.00006,62.400,62.400,62.400
acorn-ef512,anticorr_q0238_tau0,anticorr,9900000,0.1000,0.00004,76.812,76.812,76.812
acorn-ef64,anticorr_q0238_tau0.01,anticorr,9899861,1.0000,0.00000,8.300,8.300,8.300
acorn-ef128,anticorr_q0238_tau0.01,anticorr,9899861,1.0000,0.00000,7.968,7.968,7.968
acorn-ef256,anticorr_q0238_tau0.01,anticorr,9899861,1.0000,0.00000,10.799,10.799,10.799
acorn-ef512,anticorr_q0238_tau0.01,anticorr,9899861,1.0000,0.00000,15.901,15.901,15.901
acorn-ef64,anticorr_q0238_tau0.03,anticorr,9900075,1.0000,0.00000,2.680,2.680,2.680
acorn-ef128,anticorr_q0238_tau0.03,anticorr,9900075,1.0000,0.00000,1.693,1.693,1.693
acorn-ef256,anticorr_q0238_tau0.03,anticorr,9900075,1.0000,0.00000,2.069,2.069,2.069
acorn-ef512,anticorr_q0238_tau0.03,anticorr,9900075,1.0000,0.00000,3.541,3.541,3.541
acorn-ef64,anticorr_q0259_tau0,anticorr,9900001,0.0000,0.00013,59.772,59.772,59.772
acorn-ef128,anticorr_q0259_tau0,anticorr,9900001,0.0000,0.00009,65.777,65.777,65.777
acorn-ef256,anticorr_q0259_tau0,anticorr,9900001,0.0000,0.00005,75.942,75.942,75.942
acorn-ef512,anticorr_q0259_tau0,anticorr,9900001,0.0000,0.00004,105.056,105.056,105.056
acorn-ef64,anticorr_q0259_tau0.01,anticorr,9899695,0.7000,0.00063,9.733,9.733,9.733
acorn-ef128,anticorr_q0259_tau0.01,anticorr,9899695,0.7000,0.00063,9.596,9.596,9.596
acorn-ef256,anticorr_q0259_tau0.01,anticorr,9899695,0.9000,0.00003,13.690,13.690,13.690
acorn-ef512,anticorr_q0259_tau0.01,anticorr,9899695,1.0000,0.00000,20.516,20.516,20.516
acorn-ef64,anticorr_q0259_tau0.03,anticorr,9900271,1.0000,0.00000,3.093,3.093,3.093
acorn-ef128,anticorr_q0259_tau0.03,anticorr,9900271,1.0000,0.00000,1.956,1.956,1.956
acorn-ef256,anticorr_q0259_tau0.03,anticorr,9900271,1.0000,0.00000,2.714,2.714,2.714
acorn-ef512,anticorr_q0259_tau0.03,anticorr,9900271,1.0000,0.00000,4.686,4.686,4.686
acorn-ef64,anticorr_q0287_tau0,anticorr,9900000,0.0000,0.00035,41.420,41.420,41.420
acorn-ef128,anticorr_q0287_tau0,anticorr,9900000,0.0000,0.00018,47.396,47.396,47.396
acorn-ef256,anticorr_q0287_tau0,anticorr,9900000,0.0000,0.00009,59.623,59.623,59.623
acorn-ef512,anticorr_q0287_tau0,anticorr,9900000,0.0000,0.00005,74.692,74.692,74.692
acorn-ef64,anticorr_q0287_tau0.01,anticorr,9899924,0.5000,0.00212,7.424,7.424,7.424
acorn-ef128,anticorr_q0287_tau0.01,anticorr,9899924,0.7000,0.00148,7.231,7.231,7.231
acorn-ef256,anticorr_q0287_tau0.01,anticorr,9899924,0.8000,0.00133,10.553,10.553,10.553
acorn-ef512,anticorr_q0287_tau0.01,anticorr,9899924,0.9000,0.00084,16.571,16.571,16.571
acorn-ef64,anticorr_q0287_tau0.03,anticorr,9900818,1.0000,0.00000,3.898,3.898,3.898
acorn-ef128,anticorr_q0287_tau0.03,anticorr,9900818,1.0000,0.00000,1.405,1.405,1.405
acorn-ef256,anticorr_q0287_tau0.03,anticorr,9900818,1.0000,0.00000,2.716,2.716,2.716
acorn-ef512,anticorr_q0287_tau0.03,anticorr,9900818,1.0000,0.00000,3.894,3.894,3.894
acorn-ef64,anticorr_q0308_tau0,anticorr,9900000,0.0000,0.00032,57.951,57.951,57.951
acorn-ef128,anticorr_q0308_tau0,anticorr,9900000,0.0000,0.00016,64.191,64.191,64.191
acorn-ef256,anticorr_q0308_tau0,anticorr,9900000,0.0000,0.00006,73.618,73.618,73.618
acorn-ef512,anticorr_q0308_tau0,anticorr,9900000,0.0000,0.00003,89.545,89.545,89.545
acorn-ef64,anticorr_q0308_tau0.01,anticorr,9900426,0.7000,0.00081,8.747,8.747,8.747
acorn-ef128,anticorr_q0308_tau0.01,anticorr,9900426,0.9000,0.00010,8.439,8.439,8.439
acorn-ef256,anticorr_q0308_tau0.01,anticorr,9900426,1.0000,0.00000,13.170,13.170,13.170
acorn-ef512,anticorr_q0308_tau0.01,anticorr,9900426,1.0000,0.00000,19.698,19.698,19.698
acorn-ef64,anticorr_q0308_tau0.03,anticorr,9899801,1.0000,0.00000,2.545,2.545,2.545
acorn-ef128,anticorr_q0308_tau0.03,anticorr,9899801,1.0000,0.00000,1.295,1.295,1.295
acorn-ef256,anticorr_q0308_tau0.03,anticorr,9899801,1.0000,0.00000,2.211,2.211,2.211
acorn-ef512,anticorr_q0308_tau0.03,anticorr,9899801,1.0000,0.00000,3.850,3.850,3.850
acorn-ef64,anticorr_q0314_tau0,anticorr,9900000,0.0000,0.00027,59.108,59.108,59.108
acorn-ef128,anticorr_q0314_tau0,anticorr,9900000,0.0000,0.00020,65.727,65.727,65.727
acorn-ef256,anticorr_q0314_tau0,anticorr,9900000,0.0000,0.00009,79.147,79.147,79.147
acorn-ef512,anticorr_q0314_tau0,anticorr,9900000,0.0000,0.00003,94.664,94.664,94.664
acorn-ef64,anticorr_q0314_tau0.01,anticorr,9900146,0.9000,0.00006,10.605,10.605,10.605
acorn-ef128,anticorr_q0314_tau0.01,anticorr,9900146,1.0000,0.00000,11.899,11.899,11.899
acorn-ef256,anticorr_q0314_tau0.01,anticorr,9900146,1.0000,0.00000,17.084,17.084,17.084
acorn-ef512,anticorr_q0314_tau0.01,anticorr,9900146,1.0000,0.00000,24.994,24.994,24.994
acorn-ef64,anticorr_q0314_tau0.03,anticorr,9899754,0.9000,0.00029,2.218,2.218,2.218
acorn-ef128,anticorr_q0314_tau0.03,anticorr,9899754,1.0000,0.00000,1.917,1.917,1.917
acorn-ef256,anticorr_q0314_tau0.03,anticorr,9899754,1.0000,0.00000,3.533,3.533,3.533
acorn-ef512,anticorr_q0314_tau0.03,anticorr,9899754,1.0000,0.00000,6.017,6.017,6.017
acorn-ef64,anticorr_q0322_tau0,anticorr,9900000,0.0000,0.00028,61.821,61.821,61.821
acorn-ef128,anticorr_q0322_tau0,anticorr,9900000,0.0000,0.00016,69.890,69.890,69.890
acorn-ef256,anticorr_q0322_tau0,anticorr,9900000,0.0000,0.00009,80.875,80.875,80.875
acorn-ef512,anticorr_q0322_tau0,anticorr,9900000,0.0000,0.00003,94.285,94.285,94.285
acorn-ef64,anticorr_q0322_tau0.01,anticorr,9900109,1.0000,0.00000,12.304,12.304,12.304
acorn-ef128,anticorr_q0322_tau0.01,anticorr,9900109,1.0000,0.00000,12.964,12.964,12.964
acorn-ef256,anticorr_q0322_tau0.01,anticorr,9900109,1.0000,0.00000,17.719,17.719,17.719
acorn-ef512,anticorr_q0322_tau0.01,anticorr,9900109,1.0000,0.00000,25.053,25.053,25.053
acorn-ef64,anticorr_q0322_tau0.03,anticorr,9899480,1.0000,0.00000,2.164,2.164,2.164
acorn-ef128,anticorr_q0322_tau0.03,anticorr,9899480,1.0000,0.00000,1.033,1.033,1.033
acorn-ef256,anticorr_q0322_tau0.03,anticorr,9899480,1.0000,0.00000,2.021,2.021,2.021
acorn-ef512,anticorr_q0322_tau0.03,anticorr,9899480,1.0000,0.00000,3.240,3.240,3.240
acorn-ef64,anticorr_q0334_tau0,anticorr,9900002,0.0000,0.00017,65.378,65.378,65.378
acorn-ef128,anticorr_q0334_tau0,anticorr,9900002,0.0000,0.00011,72.869,72.869,72.869
acorn-ef256,anticorr_q0334_tau0,anticorr,9900002,0.0000,0.00007,91.893,91.893,91.893
acorn-ef512,anticorr_q0334_tau0,anticorr,9900002,0.0000,0.00004,116.425,116.425,116.425
acorn-ef64,anticorr_q0334_tau0.01,anticorr,9899707,0.8000,0.00050,13.262,13.262,13.262
acorn-ef128,anticorr_q0334_tau0.01,anticorr,9899707,1.0000,0.00000,12.881,12.881,12.881
acorn-ef256,anticorr_q0334_tau0.01,anticorr,9899707,1.0000,0.00000,18.490,18.490,18.490
acorn-ef512,anticorr_q0334_tau0.01,anticorr,9899707,1.0000,0.00000,26.549,26.549,26.549
acorn-ef64,anticorr_q0334_tau0.03,anticorr,9900192,1.0000,0.00000,2.559,2.559,2.559
acorn-ef128,anticorr_q0334_tau0.03,anticorr,9900192,1.0000,0.00000,1.602,1.602,1.602
acorn-ef256,anticorr_q0334_tau0.03,anticorr,9900192,1.0000,0.00000,2.614,2.614,2.614
acorn-ef512,anticorr_q0334_tau0.03,anticorr,9900192,1.0000,0.00000,4.022,4.022,4.022
acorn-ef64,anticorr_q0341_tau0,anticorr,9900000,0.0000,0.00031,64.881,64.881,64.881
acorn-ef128,anticorr_q0341_tau0,anticorr,9900000,0.0000,0.00013,71.379,71.379,71.379
acorn-ef256,anticorr_q0341_tau0,anticorr,9900000,0.0000,0.00007,85.318,85.318,85.318
acorn-ef512,anticorr_q0341_tau0,anticorr,9900000,0.0000,0.00005,99.866,99.866,99.866
acorn-ef64,anticorr_q0341_tau0.01,anticorr,9899869,0.6000,0.00193,10.761,10.761,10.761
acorn-ef128,anticorr_q0341_tau0.01,anticorr,9899869,1.0000,0.00000,11.842,11.842,11.842
acorn-ef256,anticorr_q0341_tau0.01,anticorr,9899869,1.0000,0.00000,17.091,17.091,17.091
acorn-ef512,anticorr_q0341_tau0.01,anticorr,9899869,1.0000,0.00000,25.907,25.907,25.907
acorn-ef64,anticorr_q0341_tau0.03,anticorr,9899690,1.0000,0.00000,2.014,2.014,2.014
acorn-ef128,anticorr_q0341_tau0.03,anticorr,9899690,1.0000,0.00000,1.781,1.781,1.781
acorn-ef256,anticorr_q0341_tau0.03,anticorr,9899690,1.0000,0.00000,2.969,2.969,2.969
acorn-ef512,anticorr_q0341_tau0.03,anticorr,9899690,1.0000,0.00000,4.367,4.367,4.367
acorn-ef64,anticorr_q0346_tau0,anticorr,9900000,0.0000,0.00025,56.264,56.264,56.264
acorn-ef128,anticorr_q0346_tau0,anticorr,9900000,0.0000,0.00015,63.824,63.824,63.824
acorn-ef256,anticorr_q0346_tau0,anticorr,9900000,0.0000,0.00013,75.433,75.433,75.433
acorn-ef512,anticorr_q0346_tau0,anticorr,9900000,0.0000,0.00008,89.805,89.805,89.805
acorn-ef64,anticorr_q0346_tau0.01,anticorr,9899780,0.9000,0.00018,8.534,8.534,8.534
acorn-ef128,anticorr_q0346_tau0.01,anticorr,9899780,1.0000,0.00000,9.313,9.313,9.313
acorn-ef256,anticorr_q0346_tau0.01,anticorr,9899780,1.0000,0.00000,13.725,13.725,13.725
acorn-ef512,anticorr_q0346_tau0.01,anticorr,9899780,1.0000,0.00000,23.923,23.923,23.923
acorn-ef64,anticorr_q0346_tau0.03,anticorr,9900235,0.9000,0.00247,2.987,2.987,2.987
acorn-ef128,anticorr_q0346_tau0.03,anticorr,9900235,0.9000,0.00243,2.271,2.271,2.271
acorn-ef256,anticorr_q0346_tau0.03,anticorr,9900235,1.0000,0.00000,3.561,3.561,3.561
acorn-ef512,anticorr_q0346_tau0.03,anticorr,9900235,1.0000,0.00000,5.165,5.165,5.165
acorn-ef64,anticorr_q0353_tau0,anticorr,9900001,0.0000,0.00025,71.703,71.703,71.703
acorn-ef128,anticorr_q0353_tau0,anticorr,9900001,0.0000,0.00014,83.848,83.848,83.848
acorn-ef256,anticorr_q0353_tau0,anticorr,9900001,0.0000,0.00004,100.614,100.614,100.614
acorn-ef512,anticorr_q0353_tau0,anticorr,9900001,0.0000,0.00003,126.425,126.425,126.425
acorn-ef64,anticorr_q0353_tau0.01,anticorr,9900048,0.8000,0.00102,13.797,13.797,13.797
acorn-ef128,anticorr_q0353_tau0.01,anticorr,9900048,0.9000,0.00077,15.479,15.479,15.479
acorn-ef256,anticorr_q0353_tau0.01,anticorr,9900048,0.9000,0.00075,22.519,22.519,22.519
acorn-ef512,anticorr_q0353_tau0.01,anticorr,9900048,1.0000,0.00000,30.331,30.331,30.331
acorn-ef64,anticorr_q0353_tau0.03,anticorr,9900443,1.0000,0.00000,1.985,1.985,1.985
acorn-ef128,anticorr_q0353_tau0.03,anticorr,9900443,1.0000,0.00000,2.366,2.366,2.366
acorn-ef256,anticorr_q0353_tau0.03,anticorr,9900443,1.0000,0.00000,3.985,3.985,3.985
acorn-ef512,anticorr_q0353_tau0.03,anticorr,9900443,1.0000,0.00000,6.248,6.248,6.248
acorn-ef64,anticorr_q0358_tau0,anticorr,9900001,0.0000,0.00011,67.221,67.221,67.221
acorn-ef128,anticorr_q0358_tau0,anticorr,9900001,0.0000,0.00005,75.096,75.096,75.096
acorn-ef256,anticorr_q0358_tau0,anticorr,9900001,0.0000,0.00002,86.844,86.844,86.844
acorn-ef512,anticorr_q0358_tau0,anticorr,9900001,0.0000,0.00002,103.052,103.052,103.052
acorn-ef64,anticorr_q0358_tau0.01,anticorr,9900242,0.8000,0.00050,14.415,14.415,14.415
acorn-ef128,anticorr_q0358_tau0.01,anticorr,9900242,0.9000,0.00006,15.189,15.189,15.189
acorn-ef256,anticorr_q0358_tau0.01,anticorr,9900242,0.9000,0.00006,22.391,22.391,22.391
acorn-ef512,anticorr_q0358_tau0.01,anticorr,9900242,1.0000,0.00000,31.590,31.590,31.590
acorn-ef64,anticorr_q0358_tau0.03,anticorr,9900623,1.0000,0.00000,3.367,3.367,3.367
acorn-ef128,anticorr_q0358_tau0.03,anticorr,9900623,1.0000,0.00000,2.315,2.315,2.315
acorn-ef256,anticorr_q0358_tau0.03,anticorr,9900623,1.0000,0.00000,4.277,4.277,4.277
acorn-ef512,anticorr_q0358_tau0.03,anticorr,9900623,1.0000,0.00000,6.292,6.292,6.292
acorn-ef64,anticorr_q0373_tau0,anticorr,9900000,0.0000,0.00026,62.217,62.217,62.217
acorn-ef128,anticorr_q0373_tau0,anticorr,9900000,0.0000,0.00014,67.839,67.839,67.839
acorn-ef256,anticorr_q0373_tau0,anticorr,9900000,0.0000,0.00006,79.268,79.268,79.268
acorn-ef512,anticorr_q0373_tau0,anticorr,9900000,0.0000,0.00004,88.472,88.472,88.472
acorn-ef64,anticorr_q0373_tau0.01,anticorr,9900210,0.9000,0.00037,11.315,11.315,11.315
acorn-ef128,anticorr_q0373_tau0.01,anticorr,9900210,1.0000,0.00000,10.729,10.729,10.729
acorn-ef256,anticorr_q0373_tau0.01,anticorr,9900210,1.0000,0.00000,14.467,14.467,14.467
acorn-ef512,anticorr_q0373_tau0.01,anticorr,9900210,1.0000,0.00000,21.026,21.026,21.026
acorn-ef64,anticorr_q0373_tau0.03,anticorr,9899584,1.0000,0.00000,1.614,1.614,1.614
acorn-ef128,anticorr_q0373_tau0.03,anticorr,9899584,1.0000,0.00000,1.490,1.490,1.490
acorn-ef256,anticorr_q0373_tau0.03,anticorr,9899584,1.0000,0.00000,2.324,2.324,2.324
acorn-ef512,anticorr_q0373_tau0.03,anticorr,9899584,1.0000,0.00000,3.541,3.541,3.541
acorn-ef64,anticorr_q0385_tau0,anticorr,9900000,0.0000,0.00033,63.164,63.164,63.164
acorn-ef128,anticorr_q0385_tau0,anticorr,9900000,0.0000,0.00015,67.616,67.616,67.616
acorn-ef256,anticorr_q0385_tau0,anticorr,9900000,0.0000,0.00009,75.718,75.718,75.718
acorn-ef512,anticorr_q0385_tau0,anticorr,9900000,0.0000,0.00003,87.419,87.419,87.419
acorn-ef64,anticorr_q0385_tau0.01,anticorr,9899701,0.9000,0.00026,12.273,12.273,12.273
acorn-ef128,anticorr_q0385_tau0.01,anticorr,9899701,0.9000,0.00026,11.701,11.701,11.701
acorn-ef256,anticorr_q0385_tau0.01,anticorr,9899701,1.0000,0.00000,16.746,16.746,16.746
acorn-ef512,anticorr_q0385_tau0.01,anticorr,9899701,1.0000,0.00000,23.591,23.591,23.591
acorn-ef64,anticorr_q0385_tau0.03,anticorr,9899845,0.9000,0.00017,2.463,2.463,2.463
acorn-ef128,anticorr_q0385_tau0.03,anticorr,9899845,1.0000,0.00000,1.922,1.922,1.922
acorn-ef256,anticorr_q0385_tau0.03,anticorr,9899845,1.0000,0.00000,2.745,2.745,2.745
acorn-ef512,anticorr_q0385_tau0.03,anticorr,9899845,1.0000,0.00000,3.841,3.841,3.841
acorn-ef64,anticorr_q0391_tau0,anticorr,9900000,0.0000,0.00039,48.409,48.409,48.409
