filter,family,size,queries,recall_at_10,perfect_frac,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0117_tau0.01,anticorr,9900126,1,0.6000,0.0000,315.011,315.011,315.011,63.247,229.024,1.941,20.799,604.26,512.0,2100.0
anticorr_q0117_tau0.03,anticorr,9900642,1,1.0000,1.0000,297.237,297.237,297.237,63.114,228.449,1.766,3.908,604.29,512.0,2100.0
anticorr_q0126_tau0,anticorr,9900000,1,0.0000,0.0000,325.542,325.542,325.542,62.491,231.834,2.019,29.198,604.25,512.0,2100.0
anticorr_q0126_tau0.01,anticorr,9900093,1,0.9000,0.0000,314.614,314.614,314.614,63.523,229.108,1.976,20.007,604.25,512.0,2100.0
anticorr_q0126_tau0.03,anticorr,9900093,1,1.0000,1.0000,296.515,296.515,296.515,61.695,229.210,1.734,3.875,604.25,512.0,2100.0
anticorr_q0139_tau0,anticorr,9900000,1,0.0000,0.0000,316.633,316.633,316.633,62.434,233.798,1.971,18.430,604.25,512.0,2100.0
anticorr_q0139_tau0.01,anticorr,9900294,1,0.9000,0.0000,306.969,306.969,306.969,61.636,231.782,1.953,11.598,604.27,512.0,2100.0
anticorr_q0139_tau0.03,anticorr,9900438,1,1.0000,1.0000,296.975,296.975,296.975,63.043,230.039,1.759,2.134,604.27,512.0,2100.0
anticorr_q0147_tau0,anticorr,9900000,1,0.0000,0.0000,328.970,328.970,328.970,63.027,229.984,2.032,33.926,604.25,512.0,2100.0
anticorr_q0147_tau0.01,anticorr,9899755,1,0.9000,0.0000,326.438,326.438,326.438,62.925,229.254,1.996,32.263,604.23,512.0,2100.0
anticorr_q0147_tau0.03,anticorr,9900099,1,1.0000,1.0000,300.849,300.849,300.849,61.898,229.580,1.867,7.504,604.25,512.0,2100.0
anticorr_q0155_tau0,anticorr,9900000,1,0.0000,0.0000,311.126,311.126,311.126,62.868,230.064,1.950,16.243,604.25,512.0,2100.0
anticorr_q0155_tau0.01,anticorr,9900135,1,0.4000,0.0000,304.306,304.306,304.306,61.830,229.671,2.096,10.708,604.26,512.0,2100.0
anticorr_q0155_tau0.03,anticorr,9900011,1,0.6000,0.0000,296.759,296.759,296.759,61.732,229.255,1.951,3.821,604.25,512.0,2100.0
anticorr_q0157_tau0,anticorr,9900000,1,0.0000,0.0000,318.548,318.548,318.548,62.682,231.619,1.912,22.335,604.25,512.0,2100.0
anticorr_q0157_tau0.01,anticorr,9900280,1,0.9000,0.0000,314.883,314.883,314.883,63.007,229.260,1.923,20.693,604.27,512.0,2100.0
anticorr_q0157_tau0.03,anticorr,9899453,1,1.0000,1.0000,295.903,295.903,295.903,63.454,229.511,1.766,1.172,604.21,512.0,2100.0
anticorr_q0168_tau0,anticorr,9900000,1,0.0000,0.0000,316.993,316.993,316.993,62.967,228.133,1.918,23.975,604.25,512.0,2100.0
anticorr_q0168_tau0.01,anticorr,9900108,1,0.9000,0.0000,309.261,309.261,309.261,63.000,228.701,1.831,15.729,604.25,512.0,2100.0
anticorr_q0168_tau0.03,anticorr,9899404,1,1.0000,1.0000,296.862,296.862,296.862,62.745,229.443,1.597,3.076,604.21,512.0,2100.0
anticorr_q0183_tau0,anticorr,9900000,1,0.0000,0.0000,330.495,330.495,330.495,63.054,230.507,2.097,34.837,604.25,512.0,2100.0
anticorr_q0183_tau0.01,anticorr,9899334,1,0.4000,0.0000,325.820,325.820,325.820,63.397,231.803,1.991,28.629,604.21,512.0,2100.0
anticorr_q0183_tau0.03,anticorr,9900136,1,1.0000,1.0000,299.731,299.731,299.731,61.849,230.701,1.817,5.364,604.26,512.0,2100.0
anticorr_q0184_tau0,anticorr,9900002,1,0.0000,0.0000,322.429,322.429,322.429,61.691,230.396,2.053,28.288,604.25,512.0,2100.0
anticorr_q0184_tau0.01,anticorr,9899929,1,0.8000,0.0000,313.129,313.129,313.129,62.599,228.939,2.194,19.397,604.24,512.0,2100.0
anticorr_q0184_tau0.03,anticorr,9900225,1,1.0000,1.0000,297.346,297.346,297.346,61.689,230.748,1.792,3.116,604.26,512.0,2100.0
anticorr_q0185_tau0,anticorr,9900000,1,0.0000,0.0000,315.274,315.274,315.274,62.267,229.548,1.864,21.594,604.25,512.0,2100.0
anticorr_q0185_tau0.01,anticorr,9900267,1,0.7000,0.0000,303.606,303.606,303.606,63.113,229.146,1.897,9.450,604.26,512.0,2100.0
anticorr_q0185_tau0.03,anticorr,9900343,1,1.0000,1.0000,298.381,298.381,298.381,63.139,229.581,1.722,3.939,604.27,512.0,2100.0
anticorr_q0211_tau0,anticorr,9900000,1,0.0000,0.0000,318.139,318.139,318.139,62.954,231.340,2.043,21.802,604.25,512.0,2100.0
anticorr_q0211_tau0.01,anticorr,9899733,1,1.0000,1.0000,309.479,309.479,309.479,62.124,228.816,1.914,16.625,604.23,512.0,2100.0
anticorr_q0211_tau0.03,anticorr,9899761,1,1.0000,1.0000,297.434,297.434,297.434,62.497,229.057,1.777,4.102,604.23,512.0,2100.0
anticorr_q0221_tau0,anticorr,9900000,1,0.0000,0.0000,323.489,323.489,323.489,61.986,232.394,1.960,27.149,604.25,512.0,2100.0
anticorr_q0221_tau0.01,anticorr,9900215,1,0.7000,0.0000,314.671,314.671,314.671,63.481,229.373,1.920,19.896,604.26,512.0,2100.0
anticorr_q0221_tau0.03,anticorr,9900077,1,1.0000,1.0000,298.575,298.575,298.575,62.598,230.014,1.847,4.116,604.25,512.0,2100.0
anticorr_q0238_tau0,anticorr,9900000,1,0.1000,0.0000,312.570,312.570,312.570,62.979,229.041,1.940,18.610,604.25,512.0,2100.0
anticorr_q0238_tau0.01,anticorr,9899861,1,0.9000,0.0000,304.694,304.694,304.694,63.468,229.733,1.925,9.567,604.24,512.0,2100.0
anticorr_q0238_tau0.03,anticorr,9900075,1,1.0000,1.0000,296.684,296.684,296.684,62.532,228.322,1.767,4.063,604.25,512.0,2100.0
